race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,latitude,longitude
27555,"Beacons 100/50, Beacons Ultra/Marathon - Force12 Events -",Beacons 100,Brecon,United Kingdom,2018-08-18,19:00:00,Solo,162.6,6730,-6730,5,150,51.9472048,-3.391696
35121,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2018-08-17,18:00:00,Solo,157.6,7090,-7120,13,150,42.0073633,24.8762702
25985,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2018-08-04,06:00:00,Solo,168.0,3420,-3460,14,300,51.2151749,-0.7984854
28479,The GAX 100 Miles,The GAX 100 Miles,Ystad,Sweden,2018-07-28,08:00:00,Solo,160.8,1500,-1500,3,70,55.4295203,13.8201171
25599,Chiemgauer 100,100 Mile,Bergen,Germany,2018-07-27,14:00:00,Solo,0.0,0,0,9,150,49.7808936,7.4176059
25513,Montreux Trail Festival,MXtrem,Savigny,Switzerland,2018-07-27,06:00:00,Solo,161.9,11530,-11520,15,300,46.5384249,6.7316194
28553,Pen Llyn Ultra 100,Pen Llyn Ultra 100,Pwllheli,United Kingdom,2018-06-23,05:00:00,Solo,162.6,3210,-3170,7,100,52.8879082,-4.4187565
27531,South Wales 100,South Wales 100,Cardiff,United Kingdom,2018-06-22,19:00:00,Solo,167.1,5660,-5670,11,100,51.4816546,-3.1791934
29115,ULTRA01 by XT,ULTRA01 by XT,OYONNAX,France,2018-06-22,18:00:00,Solo,163.3,5010,-5010,5,200,46.2575174,5.6556181
28883,X Trail Corrèze Dordogne,Trail des tours par équipes,Argentat,France,2018-09-22,09:00:00,Team,48.4,2010,-2300,4,400,45.0985199,1.9238527517102222
26955,Ultra-Trail® Malopolska,UTM 170,Kasinka Mala,Poland,2018-06-15,17:00:00,Solo,172.8,8870,-8870,11,100,49.7024609,20.0370039
27329,Ultra-Trail® Malopolska,UTM 170 NA RATY,Kasinka Mala,Poland,2018-06-15,06:00:00,Solo,170.0,8650,-8650,9,50,49.7024609,20.0370039
25983,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,2018-06-09,06:00:00,Solo,155.9,3390,-3440,14,300,50.8115402,-0.3699697
33511,Oh Meu Deus,100 Milhas OMD,Seia,Portugal,2018-06-08,16:00:00,Solo,172.3,7530,-7530,13,85,40.4200998,-7.7028054
24505,Jurassic Coast 100,100 miles,Swanage,United Kingdom,2018-06-01,10:00:00,Solo,168.2,4740,-4740,14,50,50.6086976,-1.9571971
26021,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,Verdens Ende,Norway,2018-05-19,10:00:00,Solo,161.5,3310,-3770,3,200,59.054593,10.405638
22655,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2018-05-05,10:00:00,Solo,161.2,3210,-3160,13,300,51.4893335,-0.14405508452768728
32405,Salomon Hammer Trail,100 Miles,allinge,Denmark,2018-05-04,10:00:00,Solo,156.0,6000,-6620,12,500,55.2746124,14.799119
29411,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,2018-04-28,05:00:00,Solo,164.8,3040,-3040,8,50,57.7469786,12.1712604
25257,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2018-04-21,10:00:00,Solo,159.1,1640,-1640,13,150,59.4670482,18.0658494
23711,100 Miles Of Istria,RED,Umag,Croatia,2018-04-06,16:00:00,Solo,168.0,6540,-6820,12,600,45.4323587,13.5224098
24601,Montane Spine Races,Challenger,Edale,United Kingdom,2018-01-13,08:00:00,Solo,174.8,4590,-4590,4,120,53.368733899999995,-1.8223272292790735
20653,Sandsjöbacka Trail,Ultra Triple,Åsa,Sweden,2018-01-12,18:00:00,Solo,159.5,2490,-2510,9,100,57.3632692,12.1357043
26623,Wicklow Way 50 Miles,100 Miles,Wicklow,Ireland,2017-12-01,14:00:00,Solo,160.8,5490,-5480,4,50,52.9802376,-6.0414184
